time_stamp,elapsed_time,,,,,
1618147508434,5606,,,,,
1618147514616,5606,,,,,
1618147533865,5606,,,,,
1618147534408,5606,,,,,
1618147534409,5606,,,,,
1618147576681,5606,,,,,
1618147576739,5606,,,,,
1618147581098,5606,,,,,
1618147641920,5606,,,,,
1618147654186,5606,,,,,
1618147663936,5606,,,,,
1618147102029,5607,,,,,
1618147105901,5607,,,,,
1618147131801,5607,,,,,
1618147152859,5607,,,,,
1618147189967,5607,,,,,
1618147276187,5607,,,,,
1618147323859,5607,,,,,
1618147329505,5607,,,,,
1618147347978,5607,,,,,
1618147351654,5607,,,,,
1618147369446,5607,,,,,
1618147376668,5607,,,,,
1618147421852,5607,,,,,
1618147423311,5607,,,,,
1618147440764,5607,,,,,
1618147458682,5607,,,,,
1618147489989,5607,,,,,
1618147574105,5607,,,,,
1618147585250,5607,,,,,
1618147589339,5607,,,,,
1618147589527,5607,,,,,
1618147592526,5607,,,,,
1618147629302,5607,,,,,
1618147656035,5607,,,,,
1618147663837,5607,,,,,
1618147680885,5607,,,,,
1618147083430,5608,,,,,
1618147101557,5608,,,,,
1618147113777,5608,,,,,
1618147116373,5608,,,,,
1618147116513,5608,,,,,
1618147128022,5608,,,,,
1618147137176,5608,,,,,
1618147143030,5608,,,,,
1618147149718,5608,,,,,
1618147156960,5608,,,,,
1618147248720,5608,,,,,
1618147249020,5608,,,,,
1618147284679,5608,,,,,
1618147307753,5608,,,,,
1618147326507,5608,,,,,
1618147347264,5608,,,,,
1618147351340,5608,,,,,
1618147385779,5608,,,,,
1618147447094,5608,,,,,
1618147506320,5608,,,,,
1618147514532,5608,,,,,
1618147534420,5608,,,,,
1618147543252,5608,,,,,
1618147549821,5608,,,,,
1618147549951,5608,,,,,
1618147569635,5608,,,,,
1618147572068,5608,,,,,
1618147585282,5608,,,,,
1618147591975,5608,,,,,
1618147601751,5608,,,,,
1618147614597,5608,,,,,
1618147651403,5608,,,,,
1618147655173,5608,,,,,
1618147095700,5609,,,,,
1618147146716,5609,,,,,
1618147151992,5609,,,,,
1618147155966,5609,,,,,
1618147218843,5609,,,,,
1618147260118,5609,,,,,
1618147260812,5609,,,,,
1618147261031,5609,,,,,
1618147261946,5609,,,,,
1618147280235,5609,,,,,
1618147306357,5609,,,,,
1618147318209,5609,,,,,
1618147321017,5609,,,,,
1618147330197,5609,,,,,
1618147344909,5609,,,,,
1618147351205,5609,,,,,
1618147364837,5609,,,,,
1618147380140,5609,,,,,
1618147409875,5609,,,,,
1618147423054,5609,,,,,
1618147459322,5609,,,,,
1618147483792,5609,,,,,
1618147489965,5609,,,,,
1618147490875,5609,,,,,
1618147502476,5609,,,,,
1618147507052,5609,,,,,
1618147508442,5609,,,,,
1618147510611,5609,,,,,
1618147521871,5609,,,,,
1618147521889,5609,,,,,
1618147543623,5609,,,,,
1618147555605,5609,,,,,
1618147556489,5609,,,,,
1618147556635,5609,,,,,
1618147563902,5609,,,,,
1618147574187,5609,,,,,
1618147579887,5609,,,,,
1618147643845,5609,,,,,
1618147679738,5609,,,,,
1618147095678,5610,,,,,
1618147103690,5610,,,,,
1618147160179,5610,,,,,
1618147169117,5610,,,,,
1618147193376,5610,,,,,
1618147199992,5610,,,,,
1618147220823,5610,,,,,
1618147231886,5610,,,,,
1618147262473,5610,,,,,
1618147314871,5610,,,,,
1618147355343,5610,,,,,
1618147360019,5610,,,,,
1618147366186,5610,,,,,
1618147369469,5610,,,,,
1618147374738,5610,,,,,
1618147379074,5610,,,,,
1618147379703,5610,,,,,
1618147392723,5610,,,,,
1618147406290,5610,,,,,
1618147413466,5610,,,,,
1618147449946,5610,,,,,
